eidid,eid_name,path_genus,path_species,path_disease,event_location,zoo_origin,zoo_origin_type,path_type,event_date,event_year,event_decade,filename,wildlife_zoonoses
264,HED_264,Penicillium,marneffei,Unspecified,"Rush-Presbyterian- St. Luke Medical Center, Chicago, IL",1,2,fungi,Oct. 1987,1987,1980,HED_264.shp,TRUE
265,HED_265,Penicillium,marneffei,Unspecified,"South Carolina, USA",1,2,fungi,summer 1970,1970,1970,HED_265.shp,TRUE
273,HED_273,Anisakis,simplex,Anisakiasis,Spain,1,2,helminths,1991,1991,1990,HED_273.shp,TRUE
274,HED_274,Echinococcus,granulosus,Unspecified,Bulgaria,1,3,helminths,1971,1971,1970,HED_274.shp,TRUE
275,HED_275,Echinococcus,granulosus,Unspecified,"tibet; Wen, H., Chai, J.J., Wang, J.C., Wang, S.H., Wang, X.Y., Feng, X.H. and Zhou, H.X., 2002. Hydatid control within a continental system in PR China. In: Craig, P.S. and Pawlowski, Z., Editors, 2002. Cestode Zoonoses: Echinococcosis and Cysticercosis, IOS Press, Amsterdam, pp. 355<d0>365.",1,3,helminths,1990s,1990,1990,HED_275.shp,TRUE
276,HED_276,Echinococcus,granulosus,Unspecified,Khazakstan (Zhambyl Oblast and South Kazakhstan Oblast),1,3,helminths,1990,1990,1990,HED_276.shp,TRUE
277,HED_277,Echinococcus,granulosus,Unspecified,"Tibet; Wen, H., Chai, J.J., Wang, J.C., Wang, S.H., Wang, X.Y., Feng, X.H. and Zhou, H.X., 2002. Hydatid control within a continental system in PR China. In: Craig, P.S. and Pawlowski, Z., Editors, 2002. Cestode Zoonoses: Echinococcosis and Cysticercosis, IOS Press, Amsterdam, pp. 355<d0>365.",1,3,helminths,1980,1980,1980,HED_277.shp,TRUE
278,HED_278,Echinococcus,granulosus,Unspecified,"Neuquen, Chubut and Rio Negro (Argentina)",1,3,helminths,1999,1999,1990,HED_278.shp,TRUE
279,HED_279,Echinococcus,granulosus,Unspecified,"lived in a semirural town approximately 80 miles north of Anchorage, Alaska. Nikki rechecked and suggested we use ""Talkeetna, Alaska""",1,3,helminths,Mar-99,1999,1990,HED_279.shp,TRUE
281,HED_281,Metorchis,conjunctus,Unspecified,"Montreal, Canada",1,3,helminths,16-May-93,1993,1990,HED_281.shp,TRUE
284,HED_284,Schistosoma,mansoni,Unspecified,Oman (Sultan Qaboos Hospital in Salalah),1,2,helminths,1999,1999,1990,HED_284.shp,TRUE
288,HED_288,Trichinella,spiralis,Unspecified,Italy and France,1,3,helminths,1975,1975,1970,HED_288.shp,TRUE
289,HED_289,Trichinella,spiralis,Unspecified,"USSR, Bulgaria, Romania",1,3,helminths,1980s,1980,1980,HED_289.shp,TRUE
290,HED_290,Trichinella,spiralis,Unspecified,Yugoslavia,1,3,helminths,1990s,1990,1990,HED_290.shp,TRUE
291,HED_291,Trichinella,spiralis,Unspecified,"Argentina, China, Mexico",1,3,helminths,1970s,1970,1970,HED_291.shp,TRUE
295,HED_295,Angiostrongylus,cantonensis,Unspecified,"Havana, Cuba",1,2,protozoa,1973,1973,1970,HED_295.shp,TRUE
300,HED_300,Babesia,microti-like,Unspecified,rural forested area in southcentral Washington state,1,3,protozoa,Sept. 1991,1991,1990,HED_300.shp,TRUE
301,HED_301,Balamuthia,mandrillaris,Unspecified,"Kings County Hospital Center, Brooklyn, NY",1,3,protozoa,1990,1990,1990,HED_301.shp,TRUE
306,HED_306,Leishmania,donovani,Unspecified,Germany,1,3,protozoa,1988,1988,1980,HED_306.shp,TRUE
307,HED_307,Leishmania,infantum,Unspecified,"Spain, southern France, Portugal, and Italy",1,3,protozoa,1990,1990,1990,HED_307.shp,TRUE
308,HED_308,Leishmania,tropica,Unspecified,Eastern Saudi Arabia,1,3,protozoa,Nov. 1990,1990,1990,HED_308.shp,TRUE
328,HED_328,Trypanosoma,brucei,Unspecified,Soroti district of eastern Uganda,1,3,protozoa,end of 1998,1998,1990,HED_328.shp,TRUE
329,HED_329,Trypanosoma,brucei,Unspecified,"Tambura County, Western Equatoria, Sudan",1,3,protozoa,1997,1997,1990,HED_329.shp,TRUE
330,HED_330,Trypanosoma,brucei,Unspecified,"provinces of Western and Eastern Equatoria, Sudan",1,3,protozoa,late 1970s,1970,1970,HED_330.shp,TRUE
331,HED_331,Trypanosoma,brucei,Unspecified,"Sudan (Western Equatoria was Ibbe, in Maridi county)",1,3,protozoa,1997,1997,1990,HED_331.shp,TRUE
335,HED_335,Unspecified,Unspecified,Unspecified,"El Boson, southwestern Argentina",1,2,virus,Apr-95,1995,1990,HED_335.shp,TRUE
336,HED_336,Unspecified,Unspecified,Unspecified,"Rockhampton, Australia",1,2,virus,Oct-96,1996,1990,HED_336.shp,TRUE
339,HED_339,Unspecified,Unspecified,polyarthritis,"north coast and inland areas of New South Wales, Australia. Nikki rechecked and suggested to use Griffith NSW",1,2,virus,1985 or 1986,1985,1980,HED_339.shp,TRUE
351,HED_351,Unspecified,Unspecified,Chikungunya fever,"South Sumatra,Java, and West Kalimantan (Indonesia)",1,2,virus,1982,1982,1980,HED_351.shp,TRUE
352,HED_352,Unspecified,Unspecified,Unspecified,"Tia Forest, cote d'ivoire",1,2,virus,Nov-94,1994,1990,HED_352.shp,TRUE
354,HED_354,Unspecified,Unspecified,Unspecified,Kosovo,1,3,virus,2001,2001,2000,HED_354.shp,TRUE
362,HED_362,Unspecified,Unspecified,Unspecified,"Bornholm in Denmark, southern Norway and the south of Sweden",1,3,virus,1993,1993,1990,HED_362.shp,TRUE
363,HED_363,Unspecified,Unspecified,Unspecified,"Oshima, the southern part of Hokkaido",1,3,virus,1993,1993,1990,HED_363.shp,TRUE
365,HED_365,Unspecified,Unspecified,Unspecified,"Guanarito, Portuguesa State, Venezuela",1,2,virus,Sep-89,1989,1980,HED_365.shp,TRUE
368,HED_368,Unspecified,Unspecified,Unspecified,Bosnia,1,2,virus,1995,1995,1990,HED_368.shp,TRUE
369,HED_369,Unspecified,Unspecified,Unspecified,"Dinara, Croatia",1,2,virus,Jan-89,1989,1980,HED_369.shp,TRUE
370,HED_370,Unspecified,Unspecified,Unspecified,"Brisbane suburb of Hendra or Mackay, Queensland",1,3,virus,Aug-94,1994,1990,HED_370.shp,TRUE
376,HED_376,Unspecified,Unspecified,Unspecified,China,1,3,virus,1994,1994,1990,HED_376.shp,TRUE
399,HED_399,Unspecified,Unspecified,Unspecified,Hong Kong,1,3,virus,May-97,1997,1990,HED_399.shp,TRUE
403,HED_403,Unspecified,Unspecified,Unspecified,Daru area of the Western Province of Papua New Guinea,1,3,virus,1989,1989,1980,HED_403.shp,TRUE
404,HED_404,Unspecified,Unspecified,Unspecified,"Badu Island, Torres Strait, Australia",1,3,virus,Apr-95,1995,1990,HED_404.shp,TRUE
406,HED_406,Unspecified,Unspecified,Unspecified,"murray valley, australia",1,2,virus,1974,1974,1970,HED_406.shp,TRUE
